Date/Time,Word Count,en,ru-RU
2020.01.10-12.00.28,479,479,0
2020.01.10-12.19.54,481,481,46
2020.01.10-13.02.16,481,481,78
2020.01.10-13.04.08,481,481,84
2020.01.10-13.27.00,486,486,84
2020.01.10-13.27.47,486,486,89
2020.01.10-13.34.17,485,485,89
2020.01.10-13.40.46,483,483,89
2020.01.10-13.44.06,471,471,84
2020.01.10-13.47.11,469,469,83
2020.01.10-13.49.37,456,456,77
2020.01.10-13.58.33,414,414,76
2020.01.10-14.00.32,413,413,79
2020.01.10-14.02.48,412,412,79
2020.01.10-14.19.10,423,423,78
2020.01.10-14.22.00,423,423,129
2020.01.10-14.26.29,501,501,129
2020.01.10-14.30.35,501,501,207
2020.01.10-15.31.21,506,506,207
2020.01.10-15.37.25,506,506,476
2020.01.10-15.39.51,505,505,476
2020.01.10-15.43.10,508,508,486
2020.01.10-15.44.21,508,508,498
2020.01.10-16.41.02,508,508,494
2020.01.10-16.48.05,508,508,498
2020.01.16-22.32.12,551,551,493
2020.01.16-22.39.12,517,517,487
2020.01.16-22.40.44,517,517,505
2020.01.17-18.06.11,520,520,501
2020.01.17-18.08.28,520,520,506
2020.01.24-19.54.53,925,925,475
2020.01.24-19.56.30,826,826,475
2020.01.24-19.59.32,806,806,478
2020.01.24-20.44.56,806,806,782
2020.01.24-20.45.46,806,806,784
2020.01.24-21.04.03,806,806,788
2020.01.24-21.06.12,805,805,788
